scenario,ingress_to_command_ms,station_roundtrip_ms
A,0.3015,
A,0.1475,
A,0.2739,
A,0.2405,
A,0.3029,
A,0.1416,
A,0.2586,
A,0.13,
A,0.131,
A,0.1893,
A,0.1292,
A,0.1352,
A,0.1257,
A,0.196,
A,0.2004,
A,0.2007,
A,0.1413,
A,0.1303,
A,0.1298,
A,0.3148,
A,0.133,
A,0.2678,
A,0.1427,
A,0.1497,
A,0.2377,
A,0.2702,
A,0.1435,
A,0.1881,
A,0.2694,
A,0.3603,
A,0.2371,
A,0.2981,
A,0.306,
A,0.1506,
A,0.1331,
A,0.254,
A,0.1513,
A,0.2663,
A,0.1613,
A,0.2948,
A,0.2672,
A,0.1815,
A,0.23,
A,0.1394,
A,0.2655,
A,0.2557,
A,0.1245,
A,0.2498,
A,0.2784,
A,0.2736,
A,0.2367,
A,0.1438,
A,0.1281,
A,0.2086,
A,0.1303,
A,0.141,
A,0.1305,
A,0.2202,
A,0.1312,
A,,1.0642
A,,0.7798
A,,0.7871
A,,0.7567
A,,0.8969
A,,0.7704
A,,0.7654
A,,0.7599
A,,0.7736
A,,0.9394
A,,0.7731
A,,0.7739
A,,0.7276
A,,1.0177
A,,1.1155
A,,0.9394
A,,0.8661
A,,0.7454
A,,0.7686
A,,0.9123
A,,0.774
A,,0.8754
A,,0.806
A,,1.0023
A,,0.9369
A,,0.8568
A,,0.8959
A,,1.0955
A,,1.0486
A,,1.0382
A,,0.8248
A,,0.9097
A,,0.9685
A,,0.7584
A,,0.8257
A,,0.8853
A,,0.8039
A,,0.9723
A,,0.8331
A,,0.9361
A,,0.9435
A,,1.1861
A,,0.8174
A,,0.8369
A,,0.8088
A,,0.8098
A,,0.7533
A,,0.8664
A,,0.8011
A,,1.1001
A,,0.9298
A,,0.9268
A,,0.7342
A,,0.7806
A,,0.7948
A,,0.884
A,,0.7906
A,,0.8487
A,,0.7665
